maskapai,asal,tujuan,tahun,penumpang,harga
macan,BTO,UPG,2014,119,2285405
water asia,KNO,BTH,2015,120,2306233
water asia,CGK,BTH,2017,60,1004633
mataram,CGK,UPG,2014,164,3214506
country link,CGK,DPS,2016,126,2418383
country link,KNO,BTH,2017,69,1217749
rajawali,BDO,BTH,2016,127,2429293
mataram,PKU,HLP,2015,182,3602268
macan,PKU,SRG,2017,134,2578328
mataram,JOG,BTH,2017,119,2263683
mataram,BTO,DPS,2017,165,3234527
country link,KNO,PDG,2017,198,3935081
mataram,PKU,DPS,2014,123,2354581
mataram,JOG,BTH,2015,198,1408978
rajawali,KNO,SRG,2017,149,3246641
macan,BTO,UPG,2015,159,3100310
mataram,KNO,BTH,2015,66,1135033
rajawali,BTO,PDG,2016,114,2172573
rajawali,KNO,BTH,2016,89,3033642
water asia,BTO,DPS,2014,116,2216261
water asia,BDO,HLP,2014,156,3035824
country link,KNO,PDG,2016,110,2097529
mataram,CGK,PDG,2016,76,1348526
macan,PKU,DPS,2014,157,3058011
mataram,PKU,UPG,2015,90,1486247
country link,JOG,SRG,2015,188,3736211
rajawali,BDO,PDG,2014,124,2373104
country link,KNO,BTH,2014,176,3475597
water asia,BTO,HLP,2014,92,1688095
mataram,KNO,BTH,2017,88,2982129
rajawali,CGK,DPS,2015,190,3771388
mataram,BTO,BTH,2017,82,1486189
water asia,BDO,SRG,2015,140,2692349
macan,BTO,SRG,2016,154,1935857
water asia,CGK,PDG,2015,120,2293505
macan,CGK,SRG,2014,84,1518196
macan,PKU,SRG,2015,135,2602608
macan,BTO,BTH,2017,182,3604417
macan,BTO,PDG,2014,158,3740491
mataram,JOG,HLP,2014,96,1791860
mataram,CGK,PDG,2014,128,2459300
rajawali,BTO,UPG,2017,164,3205130
country link,BDO,BTH,2014,172,3388753
rajawali,KNO,PDG,2016,181,3233052
water asia,JOG,SRG,2015,61,1037945
rajawali,KNO,DPS,2014,192,3817328
water asia,BDO,SRG,2017,129,2465225
country link,PKU,SRG,2014,193,3819238
rajawali,BDO,SRG,2015,187,3711130
country link,PKU,UPG,2017,182,3603676
rajawali,BTO,DPS,2016,105,1959295
rajawali,CGK,PDG,2014,185,3677077
macan,KNO,DPS,2017,151,2930964
rajawali,JOG,BTH,2015,126,2406046
mataram,PKU,SRG,2015,157,3060436
water asia,CGK,HLP,2014,112,2129451
rajawali,BTO,DPS,2016,83,1501539
water asia,JOG,SRG,2014,115,2186645
rajawali,PKU,BTH,2015,60,1014667
macan,JOG,SRG,2017,182,3585448
macan,JOG,HLP,2017,133,2549666
water asia,BDO,HLP,2017,138,2662276
country link,BTO,HLP,2015,65,1127319
country link,JOG,DPS,2016,175,3442154
country link,BTO,UPG,2017,168,3312885
water asia,JOG,DPS,2016,144,2785620
mataram,BTO,DPS,2017,120,2285783
country link,PKU,HLP,2017,173,3414574
rajawali,CGK,PDG,2015,124,2139312
country link,KNO,PDG,2017,197,3911891
country link,KNO,BTH,2015,152,2952245
water asia,BDO,DPS,2017,123,2356659
country link,BTO,SRG,2017,102,1895154
rajawali,PKU,DPS,2014,171,3355018
rajawali,BTO,PDG,2014,89,1634977
mataram,JOG,SRG,2014,89,1636708
macan,CGK,PDG,2015,87,1607044
country link,CGK,DPS,2014,77,1373540
macan,BTO,HLP,2017,123,2353760
country link,BTO,UPG,2015,105,1970267
macan,PKU,BTH,2014,160,3132418
country link,BDO,PDG,2016,150,2901945
mataram,CGK,SRG,2016,159,3091713
water asia,PKU,HLP,2015,175,3455654
country link,BTO,DPS,2014,178,3506152
rajawali,CGK,PDG,2015,62,1047295
mataram,CGK,UPG,2014,95,1771914
rajawali,BDO,UPG,2015,122,2346499
mataram,BTO,PDG,2014,151,2930295
mataram,BDO,HLP,2014,164,3217337
rajawali,PKU,UPG,2015,163,3191993
country link,PKU,SRG,2015,86,1648957
water asia,BDO,UPG,2015,65,1120124
macan,PKU,HLP,2016,192,3806374
mataram,PKU,BTH,2017,60,1018364
rajawali,PKU,PDG,2017,76,1343717
country link,PKU,HLP,2016,145,2802328
rajawali,KNO,HLP,2015,197,3923374
macan,BTO,SRG,2017,184,3631510
country link,PKU,DPS,2014,199,3962749
rajawali,JOG,BTH,2015,178,3510317
mataram,JOG,DPS,2015,139,2679604
rajawali,PKU,SRG,2016,68,1164805
macan,CGK,SRG,2017,172,3389833
rajawali,BDO,DPS,2016,67,3977895
water asia,JOG,SRG,2014,154,2982375
rajawali,BTO,DPS,2016,140,2688610
water asia,BDO,DPS,2014,151,2920904
rajawali,JOG,PDG,2017,170,3354481
rajawali,BTO,HLP,2015,88,1624006
macan,PKU,BTH,2017,135,2597066
mataram,KNO,PDG,2014,194,2711968
country link,JOG,UPG,2014,180,3543457
macan,BDO,SRG,2015,178,3503404
water asia,BTO,BTH,2015,63,1077927
mataram,BTO,DPS,2017,100,1853531
macan,CGK,PDG,2017,189,3749430
water asia,KNO,PDG,2014,90,1664348
water asia,BTO,SRG,2015,112,2126332
rajawali,CGK,DPS,2014,181,3577647
water asia,PKU,PDG,2017,92,1693188
country link,KNO,SRG,2016,136,2625455
country link,PKU,HLP,2015,194,3863526
rajawali,BTO,HLP,2017,196,3886188
mataram,PKU,UPG,2017,176,3475505
country link,PKU,PDG,2016,148,2868703
country link,CGK,HLP,2017,98,1811701
mataram,KNO,UPG,2016,84,1535649
rajawali,JOG,UPG,2016,92,1695787
country link,JOG,DPS,2014,144,2786298
macan,CGK,BTH,2014,114,2169036
rajawali,JOG,DPS,2014,87,1593431
macan,KNO,UPG,2016,68,1192293
mataram,JOG,HLP,2016,92,2882753
country link,PKU,PDG,2015,81,1468651
macan,BDO,HLP,2016,135,2597418
mataram,CGK,BTH,2016,161,3139650
mataram,JOG,DPS,2014,147,2835171
mataram,KNO,PDG,2015,84,1536150
rajawali,CGK,PDG,2017,83,1510154
water asia,PKU,HLP,2015,100,1862725
water asia,PKU,PDG,2015,157,3049120
macan,BTO,DPS,2016,143,2753816
water asia,CGK,PDG,2015,119,2277883
water asia,KNO,PDG,2017,105,1979716
country link,BTO,UPG,2017,178,3512850
macan,PKU,UPG,2015,100,1857457
country link,JOG,DPS,2015,175,3459866
rajawali,KNO,DPS,2016,108,2048006
water asia,BTO,DPS,2014,103,1928791
macan,CGK,UPG,2015,173,3395036
macan,BTO,BTH,2014,66,1139768
country link,BDO,BTH,2014,149,1340934
mataram,BDO,UPG,2015,186,3690620
country link,KNO,PDG,2014,150,2909096
water asia,CGK,PDG,2017,145,2790266
mataram,CGK,PDG,2016,121,2318111
water asia,CGK,HLP,2017,98,2116206
country link,BDO,PDG,2017,113,2154281
mataram,BDO,PDG,2017,80,1429777
country link,CGK,BTH,2016,179,3042763
water asia,BDO,UPG,2014,193,3834169
mataram,CGK,SRG,2017,170,3345528
country link,JOG,HLP,2016,124,2379331
macan,CGK,SRG,2016,158,3073838
country link,PKU,SRG,2014,105,1960975
rajawali,BTO,BTH,2015,98,1824475
water asia,PKU,UPG,2015,130,2482638
water asia,BTO,HLP,2016,84,1528827
macan,JOG,UPG,2017,116,2208987
rajawali,CGK,SRG,2016,175,1542571
rajawali,BTO,BTH,2016,113,2154902
mataram,CGK,UPG,2015,189,3745387
water asia,BTO,PDG,2017,95,1757983
country link,JOG,SRG,2015,106,1997927
macan,PKU,SRG,2014,173,3413809
mataram,BTO,BTH,2015,79,1426557
macan,CGK,HLP,2016,182,1477057
macan,JOG,PDG,2016,139,2681242
country link,CGK,HLP,2016,67,1161842
macan,CGK,PDG,2016,197,3914264
water asia,CGK,DPS,2014,122,2337632
country link,KNO,UPG,2014,148,2867468
rajawali,JOG,BTH,2017,73,1287455
water asia,JOG,BTH,2016,129,2467814
macan,JOG,HLP,2017,182,3603625
rajawali,BDO,UPG,2015,83,1501760
water asia,BDO,HLP,2016,178,3509042
rajawali,JOG,BTH,2015,82,1476039
country link,JOG,DPS,2014,76,1340836
mataram,BTO,HLP,2015,150,2727341
mataram,BTO,SRG,2014,166,3259246
mataram,BDO,SRG,2014,112,2133673
country link,BTO,UPG,2017,189,3749019
mataram,JOG,DPS,2015,90,1646257
mataram,KNO,UPG,2017,132,2539855
rajawali,PKU,SRG,2017,93,2877702
mataram,KNO,UPG,2015,115,2200352
macan,JOG,DPS,2015,101,1483837
macan,PKU,HLP,2014,176,3466862
rajawali,KNO,UPG,2014,122,2348509
country link,BDO,DPS,2015,154,2982327
country link,JOG,HLP,2014,60,3777525
macan,CGK,BTH,2014,126,2425732
rajawali,JOG,DPS,2017,107,2024722
mataram,JOG,UPG,2015,186,3686510
country link,PKU,DPS,2017,152,2958621
rajawali,JOG,BTH,2015,146,2809997
mataram,JOG,UPG,2015,160,3117905
rajawali,KNO,HLP,2014,133,2542727
macan,BDO,PDG,2014,183,3614468
rajawali,BTO,DPS,2015,112,2133169
rajawali,PKU,BTH,2015,97,1796474
country link,JOG,HLP,2017,193,3844178
rajawali,CGK,HLP,2015,100,1863199
mataram,KNO,PDG,2015,124,2376916
mataram,BTO,HLP,2016,181,3574098
macan,PKU,DPS,2014,141,2712214
mataram,KNO,BTH,2016,76,1347878
water asia,CGK,BTH,2017,116,2216771
macan,PKU,SRG,2016,124,2376937
macan,BTO,SRG,2014,158,3070904
rajawali,PKU,BTH,2017,72,1272729
macan,KNO,UPG,2017,157,3063651
mataram,CGK,HLP,2016,113,2143838
macan,PKU,DPS,2017,139,2678628
mataram,CGK,HLP,2016,191,3791372
water asia,BTO,DPS,2014,146,2828670
macan,KNO,BTH,2015,156,3039873
mataram,PKU,BTH,2015,69,1213170
mataram,KNO,SRG,2016,133,2556066
country link,BTO,HLP,2016,89,1645638
water asia,JOG,BTH,2016,101,1876333
country link,KNO,BTH,2014,195,3879997
mataram,JOG,BTH,2015,200,1214882
country link,PKU,BTH,2016,162,3160698
mataram,PKU,BTH,2016,148,2855362
macan,PKU,BTH,2014,62,1048256
macan,BDO,HLP,2014,100,1864675
water asia,PKU,SRG,2016,62,1062048
water asia,CGK,PDG,2014,146,2831190
rajawali,JOG,UPG,2014,174,3424188
rajawali,PKU,HLP,2016,178,3501097
water asia,BDO,PDG,2017,141,2720883
rajawali,CGK,UPG,2016,139,2682054
water asia,BTO,HLP,2017,93,1733337
water asia,BTO,SRG,2014,102,1906708
country link,CGK,BTH,2014,173,3394963
water asia,CGK,BTH,2016,164,3205489
country link,PKU,DPS,2017,187,3717266
mataram,CGK,UPG,2014,149,2877679
country link,CGK,PDG,2015,153,2971234
water asia,CGK,SRG,2016,63,1084452
macan,BTO,UPG,2015,149,2896066
water asia,BDO,PDG,2016,76,1349393
water asia,KNO,SRG,2016,149,2898902
mataram,JOG,SRG,2016,179,3518608
country link,CGK,HLP,2015,72,1264712
water asia,BDO,DPS,2017,124,2382443
country link,KNO,UPG,2017,75,1502580
rajawali,BTO,UPG,2017,143,2756632
water asia,KNO,HLP,2015,159,3093887
water asia,BTO,UPG,2015,87,1585578
mataram,PKU,BTH,2015,75,1335333
macan,BTO,BTH,2016,200,3982678
rajawali,PKU,HLP,2017,163,3184164
country link,KNO,SRG,2016,106,1993037
mataram,PKU,BTH,2015,111,2114864
macan,KNO,SRG,2014,104,1952705
mataram,KNO,HLP,2016,147,2852156
country link,PKU,HLP,2014,168,3296186
rajawali,JOG,UPG,2014,61,1043461
macan,CGK,BTH,2016,109,3417147
macan,BDO,SRG,2015,185,3665233
water asia,BTO,DPS,2016,168,3291112
water asia,JOG,SRG,2017,140,2700820
water asia,BTO,UPG,2016,176,1703724
mataram,CGK,PDG,2016,153,2466545
water asia,BTO,BTH,2014,61,1039496
macan,JOG,SRG,2015,177,3496462
rajawali,CGK,BTH,2016,97,1805980
rajawali,KNO,UPG,2016,162,3161233
mataram,JOG,HLP,2014,140,2689239
country link,CGK,SRG,2015,137,3288204
mataram,PKU,PDG,2014,179,3539476
country link,BTO,UPG,2015,190,3774265
rajawali,PKU,BTH,2014,189,3745454
rajawali,BDO,HLP,2016,82,1472110
macan,BDO,SRG,2014,90,1657240
macan,CGK,SRG,2017,100,1861606
rajawali,BTO,HLP,2015,200,3998458
mataram,JOG,UPG,2016,80,1442561
country link,PKU,UPG,2016,193,3837204
country link,JOG,BTH,2017,89,1639599
macan,BDO,HLP,2014,152,2958409
macan,KNO,HLP,2016,87,1587078
rajawali,BDO,UPG,2014,87,1601936
water asia,BDO,HLP,2014,83,1500330
rajawali,KNO,BTH,2017,97,1806342
country link,PKU,HLP,2015,196,3898722
macan,BTO,HLP,2016,154,3005280
water asia,CGK,DPS,2017,96,1776942
rajawali,CGK,PDG,2014,168,3301672
macan,BDO,HLP,2015,95,1772104
macan,PKU,SRG,2014,126,2407569
water asia,BTO,HLP,2015,76,1369060
macan,PKU,PDG,2014,153,2965722
mataram,KNO,BTH,2017,70,1228443
water asia,KNO,PDG,2016,177,3484339
rajawali,KNO,SRG,2014,158,3072942
rajawali,JOG,UPG,2015,174,3431175
water asia,JOG,UPG,2015,190,3770091
mataram,PKU,HLP,2016,137,2633273
mataram,KNO,DPS,2014,113,2147091
mataram,JOG,DPS,2017,81,1454058
country link,CGK,BTH,2015,98,1815187
rajawali,JOG,UPG,2016,122,2350821
rajawali,CGK,BTH,2014,136,2617058
mataram,CGK,DPS,2017,180,3554813
rajawali,PKU,PDG,2015,200,3980327
water asia,KNO,DPS,2014,172,3391939
country link,BTO,DPS,2016,122,2329029
water asia,JOG,BTH,2016,84,1523389
water asia,BTO,UPG,2016,191,3791436
mataram,BDO,HLP,2014,68,1179932
rajawali,JOG,UPG,2016,182,3602994
country link,PKU,PDG,2014,154,2990544
country link,PKU,BTH,2014,153,2964165
rajawali,JOG,UPG,2016,181,3577874
country link,PKU,UPG,2015,156,3037712
rajawali,BTO,SRG,2017,199,3955661
mataram,KNO,SRG,2014,75,3268556
macan,PKU,SRG,2014,83,1502345
country link,KNO,HLP,2016,117,2234140
mataram,PKU,PDG,2015,85,1561022
water asia,PKU,PDG,2015,181,3576673
macan,KNO,BTH,2015,114,2173182
mataram,BTO,DPS,2014,96,1789438
mataram,CGK,BTH,2016,65,1111294
macan,JOG,SRG,2017,140,2699343
macan,CGK,SRG,2014,109,2058568
water asia,KNO,BTH,2014,98,1808360
water asia,BTO,DPS,2017,130,2490769
rajawali,BDO,UPG,2017,200,3980449
rajawali,BDO,HLP,2017,147,2835436
water asia,PKU,DPS,2016,178,3499608
country link,KNO,DPS,2016,141,1391273
country link,PKU,DPS,2015,200,1747366
rajawali,CGK,BTH,2015,147,2850647
water asia,BTO,HLP,2015,95,1767842
mataram,JOG,SRG,2014,173,3406230
country link,BDO,BTH,2014,160,3117301
water asia,PKU,HLP,2015,66,1138265
rajawali,KNO,PDG,2017,96,1779100
rajawali,JOG,BTH,2016,131,2525299
country link,BTO,PDG,2015,160,3925508
macan,BDO,SRG,2016,124,1562511
country link,BTO,PDG,2015,172,3377802
water asia,CGK,SRG,2017,144,2766610
rajawali,CGK,BTH,2016,85,1543993
mataram,PKU,PDG,2014,115,2195006
mataram,BTO,UPG,2015,146,2812010
macan,CGK,UPG,2017,197,3915427
water asia,CGK,PDG,2014,119,2269578
mataram,CGK,UPG,2017,86,1584467
rajawali,CGK,BTH,2014,187,3704552
rajawali,JOG,DPS,2014,67,1156336
rajawali,CGK,BTH,2015,133,2551909
water asia,PKU,HLP,2016,128,2452039
rajawali,JOG,UPG,2014,159,3110998
country link,JOG,HLP,2016,123,2351030
rajawali,BTO,PDG,2016,83,3052698
mataram,KNO,BTH,2017,185,3673268
mataram,PKU,SRG,2014,186,3689882
rajawali,CGK,PDG,2016,171,3358585
mataram,BDO,UPG,2017,134,2578474
macan,JOG,DPS,2014,88,1616221
water asia,PKU,BTH,2017,108,3372367
macan,BTO,HLP,2014,115,2200377
water asia,BTO,PDG,2015,195,3871440
rajawali,PKU,BTH,2014,151,2917675
rajawali,BDO,HLP,2016,174,3420169
macan,CGK,SRG,2016,150,2903275
macan,BTO,UPG,2014,111,2113834
mataram,JOG,PDG,2014,155,3015979
country link,CGK,PDG,2014,60,1010124
country link,PKU,PDG,2016,194,3845107
rajawali,CGK,PDG,2015,165,3232426
mataram,PKU,UPG,2016,144,2775741
country link,JOG,DPS,2016,111,2107285
mataram,JOG,DPS,2017,160,2360611
mataram,JOG,HLP,2015,161,3147941
mataram,PKU,DPS,2016,84,1517896
rajawali,JOG,UPG,2014,124,2376263
mataram,PKU,PDG,2015,182,3590428
mataram,BDO,SRG,2017,118,2248251
mataram,PKU,SRG,2015,85,1561165
rajawali,PKU,DPS,2014,65,1128775
macan,BDO,DPS,2017,132,2531171
water asia,JOG,UPG,2017,171,1152369
mataram,KNO,DPS,2015,95,1771912
rajawali,BDO,BTH,2014,79,1415533
water asia,BDO,SRG,2016,146,3595781
country link,PKU,SRG,2014,126,2409823
rajawali,JOG,UPG,2015,182,3602661
macan,BDO,BTH,2016,115,2187280
macan,BTO,HLP,2017,88,1626189
country link,CGK,HLP,2017,94,1745783
rajawali,CGK,BTH,2016,160,3120158
rajawali,JOG,DPS,2017,140,2686445
rajawali,BDO,DPS,2015,137,2632336
rajawali,PKU,BTH,2016,115,2189376
country link,CGK,SRG,2014,75,1335513
macan,BTO,SRG,2016,112,2130887
rajawali,CGK,SRG,2015,151,2924274
water asia,KNO,HLP,2016,88,1615626
mataram,BTO,HLP,2015,62,1063255
mataram,JOG,PDG,2014,176,3474086
rajawali,KNO,BTH,2017,174,3435439
mataram,KNO,DPS,2014,71,1251482
water asia,PKU,UPG,2016,137,2633307
rajawali,BTO,HLP,2015,158,3083831
mataram,CGK,HLP,2016,108,2038361
macan,KNO,DPS,2017,161,3141328
water asia,PKU,PDG,2016,63,1085710
mataram,CGK,DPS,2015,199,3958745
country link,BTO,UPG,2016,87,1603335
mataram,JOG,PDG,2016,143,2756597
country link,CGK,PDG,2016,169,3330063
country link,PKU,DPS,2014,93,1730097
water asia,BTO,SRG,2017,96,1774921
rajawali,CGK,PDG,2016,73,1284177
mataram,BTO,UPG,2014,165,3240667
mataram,BTO,UPG,2016,111,2118592
water asia,KNO,PDG,2017,126,3590905
country link,CGK,UPG,2014,88,1620616
water asia,BDO,PDG,2017,90,1648083
macan,JOG,BTH,2016,87,1600165
mataram,KNO,UPG,2014,138,2666320
rajawali,KNO,DPS,2017,118,2257061
macan,BTO,BTH,2015,140,2688162
rajawali,PKU,UPG,2015,183,3608767
mataram,CGK,DPS,2015,178,3505956
macan,BDO,BTH,2014,159,3800089
mataram,PKU,SRG,2014,183,3620616
macan,KNO,HLP,2015,125,2724734
mataram,PKU,SRG,2014,169,3313402
water asia,BTO,BTH,2015,163,3198393
water asia,KNO,PDG,2016,109,2068459
water asia,CGK,BTH,2017,152,2956308
rajawali,KNO,BTH,2016,194,3863185
mataram,BDO,DPS,2014,132,2540851
country link,PKU,PDG,2016,119,2264944
rajawali,JOG,HLP,2017,173,3399208
country link,PKU,HLP,2017,163,3197068
mataram,CGK,UPG,2016,191,3788795
macan,BDO,SRG,2016,96,1783050
macan,JOG,SRG,2017,156,3044026
mataram,KNO,HLP,2014,180,3548739
country link,CGK,SRG,2016,101,1889141
mataram,JOG,DPS,2015,163,3187549
water asia,CGK,PDG,2015,87,1601206
macan,BTO,BTH,2015,91,1683590
mataram,PKU,BTH,2015,87,1608722
mataram,JOG,HLP,2014,173,3395948
macan,BDO,SRG,2015,136,2629729
country link,KNO,SRG,2016,76,1764322
water asia,BDO,SRG,2017,73,1285338
mataram,JOG,UPG,2015,68,1189050
water asia,KNO,BTH,2016,149,2894081
mataram,BDO,HLP,2017,77,1383915
mataram,PKU,PDG,2015,160,3122741
macan,PKU,UPG,2015,140,2699676
mataram,KNO,UPG,2014,116,2212583
macan,BDO,UPG,2015,197,3907137
rajawali,JOG,DPS,2015,63,1086473
country link,BDO,HLP,2016,83,1501101
mataram,CGK,PDG,2014,153,2965499
rajawali,JOG,BTH,2017,132,2532167
water asia,KNO,BTH,2014,111,2106715
water asia,CGK,SRG,2017,154,2987725
country link,KNO,UPG,2017,78,1057168
rajawali,KNO,PDG,2017,161,3140059
water asia,CGK,UPG,2017,127,2437116
rajawali,PKU,SRG,2015,68,1165740
water asia,CGK,SRG,2014,63,1076339
macan,JOG,PDG,2015,196,3896683
country link,CGK,DPS,2014,179,3525328
macan,JOG,SRG,2015,94,1746812
country link,PKU,PDG,2014,62,1052272
country link,PKU,SRG,2015,123,2367655
mataram,BTO,UPG,2015,71,1254986
country link,BDO,BTH,2017,65,1109946
rajawali,KNO,SRG,2017,194,3860775
macan,BDO,SRG,2017,165,3226560
rajawali,PKU,SRG,2016,61,1037298
rajawali,CGK,UPG,2014,64,1100925
rajawali,PKU,HLP,2016,169,2931060
macan,PKU,UPG,2017,101,1885303
mataram,PKU,BTH,2014,131,2499995
country link,KNO,SRG,2017,91,1678152
country link,CGK,SRG,2017,140,2700081
country link,PKU,SRG,2015,200,3971313
macan,CGK,PDG,2015,165,2898781
rajawali,BTO,DPS,2017,176,3470034
mataram,JOG,HLP,2016,194,3850524
rajawali,BDO,DPS,2015,185,3669757
rajawali,BTO,HLP,2016,90,1870233
macan,CGK,BTH,2016,97,1803143
rajawali,BTO,DPS,2014,83,1500188
country link,CGK,HLP,2016,80,1429429
mataram,PKU,PDG,2016,90,1662368
country link,PKU,BTH,2017,122,2334682
mataram,BDO,UPG,2015,63,1089540
macan,PKU,BTH,2016,126,2414471
macan,CGK,DPS,2015,135,2604057
country link,BTO,HLP,2015,87,1607536
rajawali,KNO,DPS,2016,126,2423095
water asia,PKU,PDG,2015,127,2439530
mataram,PKU,DPS,2015,74,1304856
mataram,BDO,PDG,2016,150,2913979
mataram,CGK,UPG,2014,110,2088759
mataram,BTO,SRG,2016,169,3317646
water asia,BDO,SRG,2015,112,2134434
rajawali,BDO,UPG,2014,93,1717948
rajawali,CGK,PDG,2015,167,3269574
rajawali,JOG,BTH,2015,104,1937980
macan,KNO,BTH,2016,121,2307826
macan,KNO,DPS,2017,172,3392009
water asia,CGK,UPG,2015,152,2956499
water asia,KNO,HLP,2014,65,1118805
country link,KNO,PDG,2016,86,1574558
water asia,BTO,BTH,2017,187,3718204
mataram,BTO,DPS,2016,114,2165334
macan,CGK,DPS,2014,99,1842377
mataram,PKU,HLP,2015,198,3950068
country link,KNO,DPS,2016,104,1940494
mataram,BTO,HLP,2017,162,3162181
country link,BTO,DPS,2015,99,3589224
mataram,BDO,DPS,2016,137,2647172
water asia,JOG,HLP,2017,135,2602076
country link,JOG,BTH,2014,77,1377557
rajawali,BDO,HLP,2017,125,2402372
mataram,KNO,HLP,2014,62,1051242
rajawali,JOG,PDG,2017,63,1083384
macan,CGK,BTH,2016,188,3737144
water asia,CGK,UPG,2017,185,3675418
country link,JOG,UPG,2014,167,3281007
country link,PKU,PDG,2016,126,2411702
mataram,CGK,DPS,2016,118,2252970
country link,PKU,PDG,2016,189,3750651
mataram,BDO,BTH,2015,99,1844913
rajawali,JOG,DPS,2016,104,1951081
country link,BTO,UPG,2014,108,2047275
country link,KNO,DPS,2015,94,1742864
mataram,BDO,UPG,2016,138,2659703
rajawali,PKU,SRG,2016,126,2406194
country link,CGK,DPS,2014,163,3183949
rajawali,BTO,BTH,2016,144,2781975
country link,BDO,PDG,2016,165,3233555
water asia,JOG,PDG,2015,154,2995683
macan,PKU,BTH,2016,114,2172776
mataram,PKU,BTH,2016,148,2858011
water asia,JOG,UPG,2017,100,1855331
country link,CGK,PDG,2017,110,2081347
macan,KNO,HLP,2016,110,2088989
macan,JOG,DPS,2016,87,2222538
rajawali,BDO,PDG,2014,158,3072320
water asia,CGK,PDG,2017,65,1118160
water asia,PKU,BTH,2015,192,3799717
country link,KNO,UPG,2016,84,1525437
rajawali,BTO,HLP,2014,87,1589440
country link,JOG,DPS,2017,96,1784107
water asia,KNO,UPG,2014,61,1303109
country link,KNO,UPG,2014,136,2625191
rajawali,PKU,HLP,2015,109,2054177
macan,KNO,UPG,2017,76,1349796
water asia,BTO,UPG,2016,112,2133147
rajawali,PKU,UPG,2014,141,2714283
water asia,KNO,SRG,2015,129,2466363
macan,CGK,UPG,2015,185,3655564
water asia,KNO,HLP,2015,105,1964908
rajawali,KNO,BTH,2015,145,2808295
rajawali,BDO,BTH,2016,175,3458397
water asia,BDO,UPG,2014,84,1528577
water asia,KNO,HLP,2017,150,3813172
macan,CGK,PDG,2014,188,3739170
country link,CGK,HLP,2015,60,1002436
water asia,JOG,SRG,2016,101,1886789
macan,KNO,DPS,2016,134,2580025
water asia,BTO,PDG,2016,188,3723447
mataram,JOG,BTH,2015,197,3918996
mataram,JOG,HLP,2017,185,3680259
rajawali,BDO,HLP,2014,181,3582345
mataram,JOG,SRG,2015,176,3474290
macan,BDO,DPS,2016,158,3076398
country link,KNO,DPS,2014,124,3675860
rajawali,KNO,SRG,2017,90,1653803
macan,PKU,HLP,2017,160,3135135
water asia,BDO,SRG,2016,66,1135568
country link,KNO,BTH,2014,74,1312961
country link,CGK,HLP,2015,71,1245465
macan,BTO,HLP,2014,66,1140139
macan,BDO,HLP,2016,66,1132589
macan,KNO,HLP,2015,147,2845783
macan,PKU,PDG,2016,136,2616740
mataram,BTO,BTH,2017,184,3631167
mataram,PKU,UPG,2015,102,1902145
water asia,BDO,SRG,2015,126,2419795
country link,BDO,BTH,2016,159,3093560
country link,CGK,BTH,2014,116,2220904
macan,CGK,DPS,2014,100,1859387
water asia,PKU,DPS,2014,108,2035501
mataram,JOG,DPS,2015,94,1751740
country link,CGK,HLP,2014,180,3557520
macan,JOG,BTH,2017,178,3512954
mataram,PKU,HLP,2016,191,3789562
country link,JOG,HLP,2014,136,2607890
rajawali,BTO,PDG,2015,198,3931882
macan,KNO,SRG,2015,192,3810638
mataram,BDO,SRG,2014,170,3346011
mataram,CGK,PDG,2015,125,2832530
mataram,JOG,PDG,2017,195,3865991
water asia,BDO,BTH,2015,168,3305193
macan,JOG,DPS,2015,65,1129462
water asia,KNO,UPG,2014,89,1632129
macan,CGK,UPG,2014,102,1906788
macan,CGK,PDG,2016,117,2227940
country link,KNO,SRG,2015,142,2745740
rajawali,BDO,DPS,2015,117,3531620
rajawali,KNO,SRG,2017,168,3289098
country link,PKU,SRG,2014,171,3371760
water asia,CGK,SRG,2016,175,3453449
macan,BDO,PDG,2015,171,3357061
country link,JOG,HLP,2017,125,2392383
rajawali,KNO,HLP,2014,70,1224518
water asia,CGK,PDG,2015,96,1790700
water asia,BDO,HLP,2016,141,2710724
mataram,BDO,UPG,2016,169,3315760
country link,JOG,BTH,2017,174,3417501
macan,PKU,HLP,2015,106,1985989
mataram,KNO,SRG,2017,174,3433664
mataram,JOG,DPS,2014,188,3725436
water asia,BDO,BTH,2016,192,3805393
water asia,CGK,BTH,2015,92,1690258
rajawali,BDO,UPG,2015,157,3049952
macan,JOG,PDG,2016,95,1757456
rajawali,JOG,UPG,2017,115,2186073
mataram,PKU,UPG,2014,123,2365129
water asia,BDO,BTH,2016,130,2495192
macan,BTO,UPG,2017,124,2378248
macan,PKU,HLP,2015,109,2073863
macan,JOG,BTH,2015,144,2767433
mataram,PKU,PDG,2014,69,1202159
macan,KNO,UPG,2015,181,3567860
mataram,PKU,PDG,2014,138,2651597
macan,BDO,PDG,2014,83,1491858
country link,BTO,UPG,2017,174,3417733
mataram,PKU,SRG,2017,91,1672792
rajawali,BTO,PDG,2015,194,3854893
rajawali,BDO,SRG,2016,72,1260314
water asia,BTO,PDG,2014,77,1378436
mataram,JOG,PDG,2015,176,3474965
rajawali,BDO,UPG,2015,160,3117432
rajawali,JOG,HLP,2014,134,2571552
country link,BTO,PDG,2014,145,2796145
mataram,CGK,HLP,2015,67,1151932
rajawali,CGK,DPS,2014,67,2252731
macan,BTO,BTH,2017,67,1157968
country link,BDO,UPG,2014,183,3606785
